match_id,balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_wickets,balls_remaining,winner_runs,outcome,method,eliminator
247501,6,Ireland,Sri Lanka,male,2006/07,4/18/07,ICC World Cup,45,"National Cricket Stadium, St George's",Grenada,Sri Lanka,field,MF Maharoof,MR Benson,BR Doctrove,Aleem Dar,DJ Harper,BC Broad,Sri Lanka,8,240,NA,NA,NA,NA
247504,6,West Indies,England,male,2006/07,4/21/07,ICC World Cup,48,"Kensington Oval, Bridgetown",Barbados,England,field,KP Pietersen,RE Koertzen,SJA Taufel,SA Bucknor,BF Bowden,RS Madugalle,England,1,1,NA,NA,NA,NA
247506,6,Australia,South Africa,male,2006/07,4/25/07,ICC World Cup,NA,"Beausejour Stadium, Gros Islet",St Lucia,South Africa,bat,GD McGrath,Aleem Dar,SA Bucknor,MR Benson,BF Bowden,JJ Crowe,Australia,7,111,NA,NA,NA,NA
433559,6,Kenya,New Zealand,male,2010/11,2/20/11,ICC Cricket World Cup,2,"MA Chidambaram Stadium, Chepauk",Chennai,Kenya,bat,HK Bennett,M Erasmus,RJ Tucker,S Asnani,Aleem Dar,RS Mahanama,New Zealand,10,252,NA,NA,NA,NA
433562,6,England,Netherlands,male,2010/11,2/22/11,ICC Cricket World Cup,5,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Netherlands,bat,RN ten Doeschate,Asad Rauf,BNJ Oxenford,SJ Davis,HDPK Dharmasena,RS Madugalle,England,6,8,NA,NA,NA,NA
433564,6,South Africa,West Indies,male,2010/11,2/24/11,ICC Cricket World Cup,7,Feroz Shah Kotla,Delhi,South Africa,field,AB de Villiers,AM Saheba,SJA Taufel,RA Kettleborough,EAR de Silva,JJ Crowe,South Africa,7,43,NA,NA,NA,NA
433565,6,Australia,New Zealand,male,2010/11,2/25/11,ICC Cricket World Cup,8,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Australia,field,MG Johnson,HDPK Dharmasena,BR Doctrove,BNJ Oxenford,Asad Rauf,RS Madugalle,Australia,7,96,NA,NA,NA,NA
433571,6,Sri Lanka,Kenya,male,2010/11,3/1/11,ICC Cricket World Cup,14,R Premadasa Stadium,Colombo,Kenya,bat,SL Malinga,AL Hill,SK Tarapore,DJ Harper,IJ Gould,BC Broad,Sri Lanka,9,188,NA,NA,NA,NA
433572,6,England,Ireland,male,2010/11,3/2/11,ICC Cricket World Cup,15,M Chinnaswamy Stadium,Bangalore,England,bat,KJ O'Brien,Aleem Dar,BF Bowden,RJ Tucker,M Erasmus,RS Mahanama,Ireland,3,5,NA,NA,NA,NA
433576,6,Bangladesh,West Indies,male,2010/11,3/4/11,ICC Cricket World Cup,19,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,KAJ Roach,SJ Davis,HDPK Dharmasena,BNJ Oxenford,Asad Rauf,RS Madugalle,West Indies,9,226,NA,NA,NA,NA
433575,6,New Zealand,Zimbabwe,male,2010/11,3/4/11,ICC Cricket World Cup,18,"Sardar Patel Stadium, Motera",Ahmedabad,Zimbabwe,bat,MJ Guptill,Aleem Dar,M Erasmus,BF Bowden,RJ Tucker,RS Mahanama,New Zealand,10,99,NA,NA,NA,NA
433578,6,India,Ireland,male,2010/11,3/6/11,ICC Cricket World Cup,22,M Chinnaswamy Stadium,Bangalore,India,field,Yuvraj Singh,BF Bowden,RJ Tucker,Aleem Dar,M Erasmus,RS Mahanama,India,5,24,NA,NA,NA,NA
433580,6,Canada,Kenya,male,2010/11,3/7/11,ICC Cricket World Cup,23,Feroz Shah Kotla,Delhi,Kenya,bat,H Osinde,Asad Rauf,BR Doctrove,SJ Davis,BNJ Oxenford,RS Madugalle,Canada,5,27,NA,NA,NA,NA
433582,6,India,Netherlands,male,2010/11,3/9/11,ICC Cricket World Cup,25,Feroz Shah Kotla,Delhi,Netherlands,bat,Yuvraj Singh,SJ Davis,BNJ Oxenford,HDPK Dharmasena,BR Doctrove,RS Madugalle,India,5,81,NA,NA,NA,NA
433585,6,Bangladesh,England,male,2010/11,3/11/11,ICC Cricket World Cup,28,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Imrul Kayes,DJ Harper,RJ Tucker,Enamul Haque,Aleem Dar,JJ Crowe,Bangladesh,2,6,NA,NA,NA,NA
433586,6,India,South Africa,male,2010/11,3/12/11,ICC Cricket World Cup,29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,bat,DW Steyn,IJ Gould,SJA Taufel,HDPK Dharmasena,BR Doctrove,RS Madugalle,South Africa,3,2,NA,NA,NA,NA
433590,6,Bangladesh,Netherlands,male,2010/11,3/14/11,ICC Cricket World Cup,32,Zahur Ahmed Chowdhury Stadium,Chittagong,Netherlands,bat,Imrul Kayes,Aleem Dar,RJ Tucker,Enamul Haque,DJ Harper,JJ Crowe,Bangladesh,6,52,NA,NA,NA,NA
433589,6,Pakistan,Zimbabwe,male,2010/11,3/14/11,ICC Cricket World Cup,33,Pallekele International Cricket Stadium,NA,Zimbabwe,bat,Umar Gul,AL Hill,NJ Llong,REJ Martinesz,M Erasmus,BC Broad,Pakistan,7,23,NA,NA,D/L,NA
433592,6,Australia,Canada,male,2010/11,3/16/11,ICC Cricket World Cup,35,M Chinnaswamy Stadium,Bangalore,Canada,bat,SR Watson,BF Bowden,AM Saheba,Asad Rauf,RA Kettleborough,AJ Pycroft,Australia,7,91,NA,NA,NA,NA
433595,6,Ireland,Netherlands,male,2010/11,3/18/11,ICC Cricket World Cup,37,Eden Gardens,Kolkata,Ireland,field,PR Stirling,BR Doctrove,IJ Gould,EAR de Silva,HDPK Dharmasena,RS Madugalle,Ireland,6,14,NA,NA,NA,NA
433596,6,Australia,Pakistan,male,2010/11,3/19/11,ICC Cricket World Cup,40,R Premadasa Stadium,Colombo,Australia,bat,Umar Akmal,M Erasmus,AL Hill,TH Wijewardene,NJ Llong,BC Broad,Pakistan,4,54,NA,NA,NA,NA
433600,6,Pakistan,West Indies,male,2010/11,3/23/11,ICC Cricket World Cup,NA,Shere Bangla National Stadium,Mirpur,West Indies,bat,Mohammad Hafeez,BF Bowden,SJ Davis,BNJ Oxenford,DJ Harper,BC Broad,Pakistan,10,175,NA,NA,NA,NA
433601,6,India,Australia,male,2010/11,3/24/11,ICC Cricket World Cup,NA,"Sardar Patel Stadium, Motera",Ahmedabad,Australia,bat,Yuvraj Singh,M Erasmus,IJ Gould,Asad Rauf,RA Kettleborough,RS Madugalle,India,5,14,NA,NA,NA,NA
433603,6,Sri Lanka,England,male,2010/11,3/26/11,ICC Cricket World Cup,NA,R Premadasa Stadium,Colombo,England,bat,TM Dilshan,BR Doctrove,SJA Taufel,SK Tarapore,AL Hill,JJ Crowe,Sri Lanka,10,63,NA,NA,NA,NA
433604,6,Sri Lanka,New Zealand,male,2010/11,3/29/11,ICC Cricket World Cup,NA,R Premadasa Stadium,Colombo,New Zealand,bat,KC Sangakkara,Aleem Dar,SJ Davis,BR Doctrove,M Erasmus,BC Broad,Sri Lanka,5,13,NA,NA,NA,NA
433606,6,India,Sri Lanka,male,2010/11,4/2/11,ICC Cricket World Cup,NA,Wankhede Stadium,Mumbai,Sri Lanka,bat,MS Dhoni,Aleem Dar,SJA Taufel,SJ Davis,IJ Gould,JJ Crowe,India,6,10,NA,NA,NA,NA
656407,6,Ireland,West Indies,male,2014/15,2/16/15,ICC Cricket World Cup,5,Saxton Oval,Nelson,Ireland,field,PR Stirling,RK Illingworth,BNJ Oxenford,JD Cloete,CB Gaffaney,BC Broad,Ireland,4,25,NA,NA,NA,NA
656409,6,New Zealand,Scotland,male,2014/15,2/17/15,ICC Cricket World Cup,6,University Oval,Dunedin,New Zealand,field,TA Boult,SD Fry,NJ Llong,S Ravi,M Erasmus,DC Boon,New Zealand,3,151,NA,NA,NA,NA
656413,6,United Arab Emirates,Zimbabwe,male,2014/15,2/19/15,ICC Cricket World Cup,8,Saxton Oval,Nelson,Zimbabwe,field,SC Williams,JD Cloete,CB Gaffaney,REJ Martinesz,RK Illingworth,BC Broad,Zimbabwe,4,12,NA,NA,NA,NA
656415,6,New Zealand,England,male,2014/15,2/20/15,ICC Cricket World Cup,9,Westpac Stadium,Wellington,England,bat,TG Southee,PR Reiffel,RJ Tucker,RSA Palliyaguruge,BNJ Oxenford,RS Mahanama,New Zealand,8,226,NA,NA,NA,NA
656421,6,Afghanistan,Sri Lanka,male,2014/15,2/22/15,ICC Cricket World Cup,12,University Oval,Dunedin,Sri Lanka,field,DPMD Jayawardene,CB Gaffaney,RK Illingworth,BNJ Oxenford,JD Cloete,BC Broad,Sri Lanka,4,10,NA,NA,NA,NA
656429,6,Ireland,United Arab Emirates,male,2014/15,2/25/15,ICC Cricket World Cup,16,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Ireland,field,GC Wilson,MA Gough,NJ Llong,BF Bowden,HDPK Dharmasena,RS Madugalle,Ireland,2,4,NA,NA,NA,NA
656431,6,Afghanistan,Scotland,male,2014/15,2/26/15,ICC Cricket World Cup,17,University Oval,Dunedin,Afghanistan,field,Samiullah Shenwari,SD Fry,RSA Palliyaguruge,CB Gaffaney,RJ Tucker,DC Boon,Afghanistan,1,3,NA,NA,NA,NA
656439,6,India,United Arab Emirates,male,2014/15,2/28/15,ICC Cricket World Cup,21,Western Australia Cricket Association Ground,Perth,United Arab Emirates,bat,R Ashwin,BF Bowden,MA Gough,HDPK Dharmasena,NJ Llong,RS Madugalle,India,9,187,NA,NA,NA,NA
656437,6,New Zealand,Australia,male,2014/15,2/28/15,ICC Cricket World Cup,20,Eden Park,Auckland,Australia,bat,TA Boult,M Erasmus,RK Illingworth,JD Cloete,S Ravi,BC Broad,New Zealand,1,161,NA,NA,NA,NA
656441,6,England,Sri Lanka,male,2014/15,3/1/15,ICC Cricket World Cup,22,Westpac Stadium,Wellington,England,bat,KC Sangakkara,BNJ Oxenford,RJ Tucker,SD Fry,CB Gaffaney,DC Boon,Sri Lanka,9,16,NA,NA,NA,NA
656451,6,Bangladesh,Scotland,male,2014/15,3/5/15,ICC Cricket World Cup,27,Saxton Oval,Nelson,Bangladesh,field,KJ Coetzer,SD Fry,BNJ Oxenford,CB Gaffaney,RJ Tucker,DC Boon,Bangladesh,6,11,NA,NA,NA,NA
656453,6,India,West Indies,male,2014/15,3/6/15,ICC Cricket World Cup,28,Western Australia Cricket Association Ground,Perth,West Indies,bat,Mohammed Shami,HDPK Dharmasena,NJ Llong,MA Gough,BF Bowden,RS Madugalle,India,4,65,NA,NA,NA,NA
656459,6,New Zealand,Afghanistan,male,2014/15,3/8/15,ICC Cricket World Cup,31,McLean Park,Napier,Afghanistan,bat,DL Vettori,JD Cloete,M Erasmus,RJ Tucker,SJ Davis,DC Boon,New Zealand,6,83,NA,NA,NA,NA
656465,6,India,Ireland,male,2014/15,3/10/15,ICC Cricket World Cup,34,Seddon Park,Hamilton,Ireland,bat,S Dhawan,HDPK Dharmasena,RA Kettleborough,NJ Llong,JD Cloete,BC Broad,India,8,79,NA,NA,NA,NA
656471,6,New Zealand,Bangladesh,male,2014/15,3/13/15,ICC Cricket World Cup,37,Seddon Park,Hamilton,New Zealand,field,MJ Guptill,HDPK Dharmasena,RA Kettleborough,JD Cloete,NJ Llong,BC Broad,New Zealand,3,7,NA,NA,NA,NA
656473,6,Afghanistan,England,male,2014/15,3/13/15,ICC Cricket World Cup,38,Sydney Cricket Ground,NA,England,field,CJ Jordan,BF Bowden,S Ravi,RSA Palliyaguruge,M Erasmus,DC Boon,England,9,41,NA,NA,D/L,NA
656475,6,India,Zimbabwe,male,2014/15,3/14/15,ICC Cricket World Cup,39,Eden Park,Auckland,India,field,SK Raina,CB Gaffaney,BNJ Oxenford,SJ Davis,RJ Tucker,RS Mahanama,India,6,8,NA,NA,NA,NA
656477,6,Australia,Scotland,male,2014/15,3/14/15,ICC Cricket World Cup,40,Bellerive Oval,Hobart,Australia,field,MA Starc,IJ Gould,RK Illingworth,MA Gough,JS Wilson,JJ Crowe,Australia,7,208,NA,NA,NA,NA
656479,6,United Arab Emirates,West Indies,male,2014/15,3/15/15,ICC Cricket World Cup,41,McLean Park,Napier,West Indies,field,JO Holder,Aleem Dar,REJ Martinesz,HDPK Dharmasena,RA Kettleborough,BC Broad,West Indies,6,117,NA,NA,NA,NA
656481,6,Ireland,Pakistan,male,2014/15,3/15/15,ICC Cricket World Cup,42,Adelaide Oval,NA,Ireland,bat,Sarfraz Ahmed,M Erasmus,RSA Palliyaguruge,PR Reiffel,SD Fry,RS Madugalle,Pakistan,7,23,NA,NA,NA,NA
656483,6,South Africa,Sri Lanka,male,2014/15,3/18/15,ICC Cricket World Cup,NA,Sydney Cricket Ground,NA,Sri Lanka,bat,Imran Tahir,NJ Llong,RJ Tucker,BNJ Oxenford,RA Kettleborough,DC Boon,South Africa,9,192,NA,NA,NA,NA
656487,6,Australia,Pakistan,male,2014/15,3/20/15,ICC Cricket World Cup,NA,Adelaide Oval,NA,Pakistan,bat,JR Hazlewood,HDPK Dharmasena,M Erasmus,BF Bowden,RK Illingworth,RS Madugalle,Australia,6,97,NA,NA,NA,NA
656491,6,New Zealand,South Africa,male,2014/15,3/24/15,ICC Cricket World Cup,NA,Eden Park,Auckland,South Africa,bat,GD Elliott,IJ Gould,RJ Tucker,BNJ Oxenford,NJ Llong,DC Boon,New Zealand,4,1,NA,NA,D/L,NA
656495,6,Australia,New Zealand,male,2014/15,3/29/15,ICC Cricket World Cup,NA,Melbourne Cricket Ground,NA,New Zealand,bat,JP Faulkner,HDPK Dharmasena,RA Kettleborough,IJ Gould,M Erasmus,RS Madugalle,Australia,7,101,NA,NA,NA,NA
1144484,6,Pakistan,West Indies,male,2019,5/31/19,World Cup,2,Trent Bridge,Nottingham,West Indies,field,O Thomas,CB Gaffaney,M Erasmus,RSA Palliyaguruge,S Ravi,JJ Crowe,West Indies,7,218,NA,NA,NA,NA
1144485,6,New Zealand,Sri Lanka,male,2019,6/1/19,World Cup,3,Sophia Gardens,Cardiff,New Zealand,field,MJ Henry,RJ Tucker,IJ Gould,P Wilson,NJ Llong,AJ Pycroft,New Zealand,10,203,NA,NA,NA,NA
1144486,6,Afghanistan,Australia,male,2019,6/1/19,World Cup,4,County Ground,Bristol,Afghanistan,bat,DA Warner,Aleem Dar,RK Illingworth,RA Kettleborough,MA Gough,RS Madugalle,Australia,7,91,NA,NA,NA,NA
1144490,6,India,South Africa,male,2019,6/5/19,World Cup,8,The Rose Bowl,Southampton,South Africa,bat,RG Sharma,RA Kettleborough,MA Gough,Aleem Dar,RK Illingworth,RS Madugalle,India,6,15,NA,NA,NA,NA
1144491,6,Bangladesh,New Zealand,male,2019,6/5/19,World Cup,9,Kennington Oval,London,New Zealand,field,LRPL Taylor,BNJ Oxenford,PR Reiffel,HDPK Dharmasena,JS Wilson,DC Boon,New Zealand,2,17,NA,NA,NA,NA
1144495,6,Afghanistan,New Zealand,male,2019,6/8/19,World Cup,13,The Cooper Associates County Ground,Taunton,New Zealand,field,JDS Neesham,MA Gough,Aleem Dar,RK Illingworth,RA Kettleborough,RS Madugalle,New Zealand,7,107,NA,NA,NA,NA
1144501,6,England,West Indies,male,2019,6/14/19,World Cup,19,The Rose Bowl,Southampton,England,field,JE Root,HDPK Dharmasena,S Ravi,P Wilson,RJ Tucker,DC Boon,England,8,101,NA,NA,NA,NA
1144503,6,Afghanistan,South Africa,male,2019,6/15/19,World Cup,21,Sophia Gardens,Cardiff,South Africa,field,Imran Tahir,CB Gaffaney,RSA Palliyaguruge,NJ Llong,IJ Gould,AJ Pycroft,South Africa,9,116,NA,NA,D/L,NA
1144505,6,Bangladesh,West Indies,male,2019,6/17/19,World Cup,23,The Cooper Associates County Ground,Taunton,Bangladesh,field,Shakib Al Hasan,RJ Tucker,S Ravi,HDPK Dharmasena,P Wilson,DC Boon,Bangladesh,7,51,NA,NA,NA,NA
1144507,6,New Zealand,South Africa,male,2019,6/19/19,World Cup,25,Edgbaston,Birmingham,New Zealand,field,KS Williamson,IJ Gould,NJ Llong,RSA Palliyaguruge,RJ Tucker,RB Richardson,New Zealand,4,3,NA,NA,NA,NA
1144515,6,New Zealand,Pakistan,male,2019,6/26/19,World Cup,33,Edgbaston,Birmingham,New Zealand,bat,Babar Azam,BNJ Oxenford,PR Reiffel,M Erasmus,P Wilson,RB Richardson,Pakistan,6,5,NA,NA,NA,NA
